appid,name,playing_time,playtime_date,creation_time
207080,Indie Game: The Movie,44,2025-10-22,2025-10-23 01:02:11.012218+08:00
219890,Antichamber,15,2025-10-22,2025-10-23 01:02:11.012218+08:00
230070,The Age of Decadence,44,2025-10-22,2025-10-23 01:02:11.012218+08:00
250760,Shovel Knight: Treasure Trove,53,2025-10-22,2025-10-23 01:02:11.012218+08:00
357070,UBERMOSH,30,2025-10-22,2025-10-23 01:02:11.012218+08:00
427410,Abiotic Factor,36,2025-10-22,2025-10-23 01:02:11.012218+08:00
466300,Planescape: Torment: Enhanced Edition,40,2025-10-22,2025-10-23 01:02:11.012218+08:00
546090,Trip to Vinelands,25,2025-10-22,2025-10-23 01:02:11.012218+08:00
552990,World of Warships,38,2025-10-22,2025-10-23 01:02:11.012218+08:00
576770,Low Magic Age,48,2025-10-22,2025-10-23 01:02:11.012218+08:00
691830,Avernum 3: Ruined World,3,2025-10-22,2025-10-23 01:02:11.012218+08:00
701470,TTV2,23,2025-10-22,2025-10-23 01:02:11.012218+08:00
841600,Aura of Worlds,29,2025-10-22,2025-10-23 01:02:11.012218+08:00
844590,Hypnospace Outlaw,24,2025-10-22,2025-10-23 01:02:11.012218+08:00
962580,Summer in Mara,61,2025-10-22,2025-10-23 01:02:11.012218+08:00
1030840,Mafia: Definitive Edition,118,2025-10-22,2025-10-23 01:02:11.012218+08:00
1172470,Apex Legends,574,2025-10-22,2025-10-23 01:02:11.012218+08:00
1177980,"Little Kitty, Big City",30,2025-10-22,2025-10-23 01:02:11.012218+08:00
1214470,Hotel Renovator,125,2025-10-22,2025-10-23 01:02:11.012218+08:00
1245430,Golden Light,156,2025-10-22,2025-10-23 01:02:11.012218+08:00
1404850,Luck be a Landlord,56,2025-10-22,2025-10-23 01:02:11.012218+08:00
1416960,Everafter Falls,135,2025-10-22,2025-10-23 01:02:11.012218+08:00
1546790,"Peace, Death! 2",70,2025-10-22,2025-10-23 01:02:11.012218+08:00
1581770,SpellForce: Conquest of Eo,49,2025-10-22,2025-10-23 01:02:11.012218+08:00
1718570,ASTLIBRA ～生きた証～ Revision,146,2025-10-22,2025-10-23 01:02:11.012218+08:00
1836120,QUICKERFLAK,44,2025-10-22,2025-10-23 01:02:11.012218+08:00
1885110,Cryptmaster,139,2025-10-22,2025-10-23 01:02:11.012218+08:00
2186680,"Warhammer 40,000: Rogue Trader",57,2025-10-22,2025-10-23 01:02:11.012218+08:00
3167020,Escape From Duckov,102,2025-10-22,2025-10-23 01:02:11.012218+08:00
3419430,Bongo Cat,545,2025-10-22,2025-10-23 01:02:11.012218+08:00
3783240,灰烬圣预 Demo,42,2025-10-22,2025-10-23 01:02:11.012218+08:00
3836320,Extinction Day Demo,7,2025-10-22,2025-10-23 01:02:11.012218+08:00
3374500,Snow Ash Demo,1,2025-10-22,2025-10-23 01:02:11.012218+08:00
