appid,name,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,content_descriptorids,playtime_disconnected,has_community_visible_stats,has_leaderboards,playtime_2weeks,creation_time
70,Half-Life,0,95be6d131fc61f145797317ca437c9765f24b41c,0,0,0,0,0,"[2, 5]",0,,,0,2025-11-03 01:01:18.197938+08:00
220,Half-Life 2,0,fcfb366051782b8ebf2aa297f3b746395858cb62,0,0,0,0,0,"[2, 5]",0,True,,0,2025-11-03 01:01:18.197938+08:00
320,Half-Life 2: Deathmatch,0,795e85364189511f4990861b578084deef086cb1,0,0,0,0,0,"[2, 5]",0,,,0,2025-11-03 01:01:18.197938+08:00
360,Half-Life Deathmatch: Source,0,40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3,0,0,0,0,0,"[2, 5]",0,,,0,2025-11-03 01:01:18.197938+08:00
550,Left 4 Dead 2,1137,7d5a243f9500d2f8467312822f8af2a2928777ed,0,0,0,0,1558855728,"[2, 5]",0,True,,0,2025-11-03 01:01:18.197938+08:00
620,Portal 2,152,25a5a16b2423bf7487ac5340b5b0948cef48c5f8,6,0,0,0,1672073503,,0,True,True,0,2025-11-03 01:01:18.197938+08:00
3170,King's Bounty: Armored Princess,0,8af2edb3b1d5680447454914546b5c2e409eab0c,0,0,0,0,0,,0,,,0,2025-11-03 01:01:18.197938+08:00
3590,Plants vs. Zombies: Game of the Year,0,d2a9c24de11210560f579e7fd9303960c5060155,0,0,0,0,0,,0,True,,0,2025-11-03 01:01:18.197938+08:00
4560,Company of Heroes - Legacy Edition,0,64946619217da497c9b29bc817bb40dd7d28c912,0,0,0,0,0,"[2, 5]",0,,,0,2025-11-03 01:01:18.197938+08:00
8930,Sid Meier's Civilization V,569,fbe80c4743e226f0bf65559c91b12953d4446808,0,0,0,0,1499448173,,0,True,,0,2025-11-03 01:01:18.197938+08:00
13250,Unreal Gold,0,ea4f234ffce6f7c645ccad169c1b6250f3c9cc6c,0,0,0,0,0,,0,,,0,2025-11-03 01:01:18.197938+08:00
15170,Heroes of Might & Magic V,0,487af5c9a91b6a0ac4615954a41d9209d69368f2,0,0,0,0,0,,0,,,0,2025-11-03 01:01:18.197938+08:00
15370,Heroes of Might & Magic V: Tribes of the East,0,1e7e71c1e0cf6cbbc6107c6e28f9bb61408bc48a,0,0,0,0,0,,0,,,0,2025-11-03 01:01:18.197938+08:00
15380,Heroes of Might & Magic V: Hammers of Fate,0,05008699f6e407c370d77b1c0ba3c8de8110ac9c,0,0,0,0,0,,0,,,0,2025-11-03 01:01:18.197938+08:00
15700,Oddworld: Abe's Oddysee,166,146cabd04a2e1a813085fbc4511c10ca01fac51b,0,0,0,0,1506860700,"[2, 5]",0,,,0,2025-11-03 01:01:18.197938+08:00
17450,Dragon Age: Origins,372,8cc583d72b84ae9a4026c762e130869127dd05e4,5,0,0,0,1614948253,,0,,,0,2025-11-03 01:01:18.197938+08:00
20900,The Witcher: Enhanced Edition,0,746d1cd48fb2e57d579b05b6e9eccba95859e549,0,0,0,0,0,"[1, 2, 5]",0,,,0,2025-11-03 01:01:18.197938+08:00
25900,King's Bounty: The Legend,0,41a5b6f527b5a1b6a3f858a5155483fc67410e5c,0,0,0,0,0,,0,,,0,2025-11-03 01:01:18.197938+08:00
34010,Alpha Protocol,0,2ac0dd4f55d09d6d20cdb21b03116dac6fe48164,0,0,0,0,0,"[1, 2, 5]",0,,,0,2025-11-03 01:01:18.197938+08:00
34270,SEGA Mega Drive & Genesis Classics,128,2cda9462fbaf9309e5aedce99ad8452adf8a40bd,0,0,0,0,1538223080,,0,True,,0,2025-11-03 01:01:18.197938+08:00
